Survived,Pclass,Sex,Age,FamilyMember,Cabin,Embarked
0,2,male,19,1,Z,S
0,3,male,28,0,Z,C
0,3,male,28,0,Z,Q
0,2,male,39,0,Z,S
0,3,male,30,0,Z,S
0,2,female,44,1,Z,S
0,2,male,19,0,Z,S
0,1,male,46,1,E,S
0,3,female,47,1,Z,S
0,1,male,51,0,Z,C
0,3,male,28,0,Z,Q
0,2,male,27,0,Z,S
1,3,female,28,0,Z,Q
1,1,female,28,1,C,S
1,2,female,4,1,Z,S
0,1,male,27,0,C,C
0,3,male,21,0,Z,S
1,1,male,60,1,B,C
0,3,male,20,0,Z,S
0,2,male,23,0,Z,C
0,3,male,49,0,Z,S
0,3,male,26,0,Z,S
1,2,female,24,0,Z,S
0,3,male,44,0,Z,S
0,1,male,33,0,B,S
1,1,female,16,0,D,S
1,3,female,28,0,Z,Q
0,3,male,22,0,Z,S
1,3,female,28,0,Z,Q
0,3,male,31,0,Z,Q
0,2,male,18,0,Z,S
1,2,male,3,1,Z,S
1,3,female,21,0,Z,S
0,3,male,28,0,Z,Q
1,2,male,2,1,F,S
0,3,male,46,0,Z,C
0,3,male,32,1,Z,S
0,3,male,26,0,Z,S
0,3,male,21,0,Z,S
0,3,male,28,0,Z,C
0,3,male,11,5,Z,S
1,3,male,44,0,Z,S
0,2,male,23,0,Z,S
0,2,male,39,0,Z,S
0,1,male,62,0,C,S
0,3,female,26,1,Z,S
0,2,male,32,2,Z,S
1,2,female,24,2,Z,S
0,3,male,19,0,Z,S
0,3,male,22,0,Z,S
1,1,female,31,0,C,S
0,3,female,28,0,Z,S
1,3,male,25,0,Z,S
0,3,female,2,0,G,S
1,3,female,24,0,G,S
1,2,female,8,0,Z,S
1,1,female,30,0,E,C
1,2,female,7,0,Z,S
0,3,male,23,0,Z,S
1,3,female,5,2,Z,C
1,2,female,19,1,Z,S
1,3,female,27,0,Z,S
0,3,male,28,0,Z,S
0,3,male,35,0,Z,S
0,3,male,40,0,Z,S
0,3,male,39,0,Z,S
0,3,male,29,0,Z,S
0,3,male,38,0,Z,S
0,3,male,28,0,Z,S
0,3,female,28,8,Z,S
1,3,male,12,1,Z,C
1,1,female,56,0,C,C
1,2,female,19,0,Z,S
0,3,male,28,0,Z,S
1,1,male,17,0,C,C
1,2,female,50,0,Z,S
0,2,male,27,0,Z,S
0,3,male,28,0,Z,S
0,3,male,28,0,Z,C
0,3,male,28,0,Z,S
1,3,male,28,0,Z,S
0,3,male,28,0,Z,S
0,2,male,52,0,Z,S
0,3,male,21,0,Z,S
0,3,male,33,1,Z,S
0,2,male,34,1,Z,S
1,2,female,25,1,Z,S
0,2,male,24,0,Z,S
0,2,male,26,0,Z,S
0,3,male,28,0,Z,Q
0,3,male,2,4,Z,S
0,3,male,10,3,Z,S
1,3,female,28,0,Z,Q
1,2,female,29,0,F,S
1,1,male,28,0,C,C
0,1,male,71,0,Z,C
0,3,male,32,0,Z,S
0,2,male,57,0,Z,Q
0,3,male,28,0,Z,C
0,1,male,28,0,C,S
0,2,male,36,1,Z,S
1,3,female,14,1,Z,C
0,3,male,28,1,Z,S
0,2,male,16,0,Z,S
1,1,female,35,1,C,S
0,3,male,37,2,Z,S
0,3,male,31,0,Z,S
0,3,male,48,0,Z,S
1,3,female,15,0,Z,C
0,1,male,45,0,B,S
1,1,female,35,0,C,S
0,3,male,31,0,Z,S
0,3,male,28,1,Z,S
0,3,male,36,1,Z,S
0,3,male,2,4,Z,Q
1,1,female,58,0,B,C
0,2,male,31,1,Z,S
0,2,male,28,0,Z,S
0,3,male,28.5,0,Z,C
0,1,male,30,0,C,C
0,1,male,60,0,Z,S
0,3,male,32,0,Z,S
0,3,female,31,1,Z,S
0,2,male,43,1,Z,S
0,3,male,17,0,Z,S
0,3,female,23,0,Z,S
1,1,male,25,1,B,C
1,3,male,20,1,Z,C
0,3,female,40,1,Z,S
0,3,male,21,0,Z,S
1,3,female,15,0,Z,Q
0,3,male,35,0,Z,S
0,3,male,28,0,Z,S
0,3,male,28,1,Z,S
1,3,male,20,1,Z,S
0,2,male,35,0,Z,S
0,3,male,28,1,Z,Q
0,3,male,20,0,Z,S
0,3,male,44,0,Z,S
0,3,male,30,0,Z,S
0,3,male,28,0,Z,C
0,3,male,43,0,Z,S
0,3,male,28,0,Z,S
0,3,male,28,0,Z,Q
0,3,male,17,1,Z,S
1,3,female,28,0,Z,Q
0,2,male,28,0,Z,C
1,1,female,24,3,C,S
0,3,female,17,0,Z,C
1,3,female,28,0,Z,Q
1,3,female,4,1,G,S
1,3,male,28,0,Z,C
0,3,male,41,0,Z,S
0,3,male,28,0,Z,S
0,1,male,58,0,B,C
1,3,female,27,0,E,S
0,3,male,33,0,Z,S
0,1,male,37,0,C,C
1,1,female,35,1,Z,S
0,3,male,27,1,Z,C
0,3,male,44,0,Z,S
1,3,male,28,2,Z,Q
0,1,male,28,0,Z,C
0,3,male,28,0,Z,Q
0,3,male,28,3,Z,S
1,1,male,51,0,E,S
0,3,male,23,0,Z,S
1,3,female,22,0,Z,S
1,1,male,31,1,B,S
1,1,male,40,0,A,C
0,3,female,25,0,Z,S
0,3,female,28,0,Z,S
1,1,female,28,0,Z,C
0,3,male,28,0,Z,S
1,1,male,36,0,E,S
1,3,male,24,0,Z,S
1,1,female,17,1,B,S
1,3,male,27,0,Z,S
1,1,female,60,1,D,C
0,2,male,51,0,Z,S
0,3,male,16,0,Z,S
0,3,male,26,1,Z,C
1,3,female,30,0,Z,S
1,3,male,32,0,Z,S
0,3,male,39,0,Z,S
1,3,female,31,0,Z,S
0,3,female,28,3,Z,S
0,3,male,19,0,Z,S
1,2,female,30,3,Z,S
1,2,female,35,0,Z,S
0,3,female,41,0,Z,S
0,3,male,38,0,Z,S
1,2,female,28,0,Z,S
0,3,female,28,0,Z,S
1,1,male,45,0,Z,S
1,3,male,28,0,Z,Q
1,3,male,26,0,Z,C
0,3,male,28,0,Z,C
0,3,male,22,0,Z,S
1,2,male,28,0,Z,S
0,2,male,34,0,Z,S
0,1,male,49,1,C,C
0,3,female,28,3,Z,S
1,1,female,28,0,Z,C
1,3,male,27,0,Z,S
0,3,male,28,0,Z,S
0,3,male,42,0,F,S
0,2,male,33,0,Z,S
1,2,female,2,1,Z,S
0,3,female,18,0,Z,C
0,1,male,46,0,B,C
0,1,male,28,0,Z,S
0,2,male,44,1,Z,S
0,2,male,23,0,Z,S
0,3,female,28,8,Z,S
1,2,female,28,1,Z,C
0,3,male,28,0,Z,Q
1,1,female,39,1,E,S
0,3,male,28,0,Z,Q
0,3,male,19,0,Z,S
1,1,female,28,1,C,C
1,2,female,28,0,E,Q
1,1,female,22,0,Z,S
1,3,female,28,1,Z,Q
0,3,male,28,0,Z,Q
1,2,female,23,0,D,C
0,3,male,40,1,Z,Q
1,1,female,24,0,C,C
0,3,female,10,0,Z,S
0,3,male,18,1,Z,S
1,1,female,53,2,C,S
1,3,male,9,1,Z,S
0,1,male,28,0,Z,C
0,2,female,24,0,Z,S
1,3,female,24,1,Z,S
0,3,female,25,1,Z,S
1,1,male,56,0,A,C
0,3,male,25,0,Z,S
0,3,male,28,0,Z,C
1,3,male,6,0,E,S
0,3,male,28,1,Z,S
1,2,male,3,1,F,S
0,3,male,28,0,Z,S
1,1,male,35,0,Z,C
0,3,female,28,0,Z,Q
1,2,female,30,0,Z,S
1,1,male,28,0,D,S
0,3,male,4,3,Z,S
1,2,female,25,0,Z,S
0,3,male,28,0,Z,S
0,1,male,62,0,Z,S
0,3,male,8,4,Z,Q
0,2,male,34,1,Z,S
0,3,male,28,0,Z,S
0,3,male,39,1,Z,S
1,1,male,28,0,C,S
0,3,male,23.5,0,Z,C
0,3,female,29,0,Z,S
0,3,male,29,0,Z,S
0,2,male,36,0,Z,S
0,3,male,28,0,F,Q
0,3,male,40,0,Z,C
0,2,male,21,1,Z,S
1,1,male,28,0,Z,S
0,2,male,18,0,Z,S
1,1,male,50,2,Z,S
1,3,female,28,0,Z,Q
1,2,male,1,1,Z,S
0,3,male,28,0,Z,S
1,1,male,38,1,C,S
1,1,female,63,1,D,S
0,3,male,29,1,Z,S
1,1,male,27,1,E,S
0,3,male,22,0,Z,S
0,1,male,55,0,C,S
0,3,male,36,0,Z,S
1,3,female,4,0,Z,S
0,3,male,29,0,Z,S
0,3,female,6,4,Z,S
0,3,male,16,4,Z,S
1,2,female,18,0,Z,S
0,1,male,52,1,E,S
0,2,male,24,0,Z,S
1,1,female,50,0,B,C
1,3,female,1,2,Z,C
1,2,female,40,1,Z,S
1,3,female,27,0,Z,S
0,3,male,7,4,Z,S
0,3,male,11,0,Z,C
1,3,female,5,4,Z,S
0,2,male,60,1,Z,S
1,1,female,44,0,B,C
1,3,female,38,1,Z,S
1,1,male,49,1,A,C
1,1,female,54,1,D,C
0,3,male,28,0,Z,S
0,3,female,37,0,Z,S
0,3,male,28,8,Z,S
0,3,male,28,0,Z,Q
1,1,female,49,0,D,S
1,3,male,20,0,Z,C
1,1,female,35,1,C,S
0,2,male,37,1,Z,S
0,3,male,18,1,Z,S
0,3,male,28,0,Z,S
1,3,female,28,0,Z,Q
1,3,male,25,1,Z,S
0,2,male,30,0,Z,S
0,3,male,26,0,Z,S
0,1,male,28,0,A,S
0,3,male,20,0,Z,C
0,3,male,25,0,Z,C
1,2,male,32,1,Z,S
0,3,male,28,0,Z,S
0,3,male,28,0,Z,C
1,3,female,36,1,Z,S
0,3,male,16,2,Z,S
0,1,male,47,0,C,S
0,1,male,47,0,D,S
1,3,male,31,0,Z,S
1,1,female,35,0,Z,C
0,3,male,28,0,Z,Q
1,3,male,22,0,Z,C
0,2,male,42,0,Z,S
0,2,female,38,0,Z,S
0,3,male,40,1,Z,S
0,3,male,42,0,Z,S
0,3,male,32,0,Z,S
1,2,female,40,0,Z,S
1,2,female,22,1,Z,S
1,2,female,24,0,F,S
1,1,male,35,0,B,C
0,2,male,47,0,Z,S
0,2,male,28,0,Z,S
0,2,male,59,0,Z,S
0,3,female,9,3,Z,S
0,2,male,36,0,Z,S
1,2,female,24,1,Z,S
1,2,male,1,0,Z,C
1,1,female,19,1,B,C
0,3,male,41,0,Z,S
0,2,male,28,0,Z,S
0,1,male,47,0,E,S
0,3,male,28,0,Z,S
0,3,male,25,0,Z,S
1,2,female,41,0,Z,S
1,1,female,28,1,B,C
0,3,male,28,8,Z,S
0,3,male,28,0,Z,S
0,3,female,32,1,Z,Q
0,3,male,18,0,Z,S
0,1,male,47,0,E,S
1,2,female,36,1,Z,S
0,3,male,16,1,Z,S
1,1,male,27,0,Z,S
1,1,female,36,0,C,C
0,3,male,28,0,Z,S
1,1,female,31,1,D,C
0,1,male,54,0,D,S
0,3,male,28,1,Z,Q
1,2,female,33,0,Z,S
0,3,male,34,1,Z,S
0,3,male,28,0,Z,S
1,3,female,22,0,Z,S
1,2,female,54,1,Z,S
1,3,female,28,0,Z,C
0,3,male,21,0,Z,S
0,1,male,50,1,C,C
1,1,female,30,0,B,S
1,1,female,48,1,A,C
0,3,male,24.5,0,Z,S
1,3,male,30,0,Z,S
0,1,male,28,0,Z,C
1,1,female,19,0,B,S
0,3,male,18,0,Z,S
1,1,female,22,0,B,C
0,1,male,36,0,A,C
1,1,female,36,0,B,S
1,3,female,28,1,Z,S
0,1,male,61,0,B,S
1,1,female,33,1,E,S
0,3,male,51,0,Z,S
0,3,male,42,0,Z,S
1,3,female,18,0,Z,S
0,3,male,22,0,Z,S
0,3,male,26,0,Z,S
1,1,female,24,0,B,C
0,2,male,25,1,Z,C
0,1,male,58,0,D,C
0,1,male,45,1,C,S
1,3,female,31,1,Z,S
1,1,female,39,1,E,C
0,3,male,28,0,Z,S
1,3,male,26,0,Z,S
0,3,male,28,0,Z,C
0,1,male,56,0,A,C
0,3,male,28,0,Z,C
0,3,male,26,0,Z,S
0,3,male,21,0,Z,S
0,3,male,34,0,Z,S
0,1,male,42,1,Z,S
1,1,male,1,1,C,S
1,3,female,35,1,Z,S
0,1,female,25,1,C,S
0,1,male,19,3,C,S
1,2,female,27,1,Z,C
0,3,male,28,0,Z,S
1,1,female,39,1,C,C
1,1,male,36,0,E,S
0,1,male,28,0,C,S
0,3,female,9,1,Z,C
0,3,male,26,1,E,S
1,2,male,31,0,Z,S
0,3,male,22,0,Z,S
1,3,female,28,1,Z,Q
0,1,male,65,0,B,C
0,3,male,28,0,Z,C
0,3,male,18,1,Z,S
1,3,male,29,0,Z,C
0,1,male,29,1,C,S
0,3,male,36,1,Z,S
0,3,male,28,0,Z,S
0,3,male,17,1,Z,C
0,1,male,28,0,Z,C
0,3,male,33,0,Z,S
0,1,male,29,0,D,S
0,2,male,23,0,Z,S
1,3,female,28,1,Z,S
1,1,female,28,1,D,S
1,3,male,28,1,Z,C
0,1,male,28,0,A,S
1,1,male,32,0,B,C
0,3,male,33,0,Z,S
1,1,male,42,0,E,S
0,1,male,38,0,Z,S
0,3,male,28,0,Z,Q
0,1,female,2,1,C,S
1,1,female,38,0,C,C
0,3,male,51,0,Z,S
0,2,male,29,0,Z,S
0,2,male,30,1,Z,C
0,3,male,19,0,Z,S
0,1,male,40,0,B,S
0,3,female,2,3,Z,S
0,3,male,32,0,Z,S
0,3,male,25,1,Z,S
1,1,female,32,0,D,C
0,2,male,24,2,Z,S
0,3,male,35,0,Z,S
0,1,male,56,0,Z,S
0,3,male,14,4,Z,S
0,3,male,28,1,Z,Q
0,3,male,22,0,Z,S
1,3,female,28,0,Z,Q
0,1,male,28,1,Z,C
1,1,female,42,0,Z,C
1,1,female,24,0,C,C
0,3,male,33,0,Z,C
1,1,female,18,0,E,S
0,1,male,71,0,A,C
1,2,female,3,1,Z,C
1,3,male,16,0,Z,S
0,2,male,66,0,Z,S
1,2,female,24,2,Z,S
0,3,male,28,0,Z,S
0,2,male,39,0,Z,S
1,2,female,6,0,Z,S
1,3,female,28,0,Z,C
0,3,female,22,0,Z,S
0,3,male,21,0,Z,S
1,1,male,28,0,C,S
0,1,male,31,0,A,S
1,3,male,28,1,Z,C
0,3,male,45,0,Z,S
1,3,female,28,0,Z,C
0,1,male,24,0,B,C
1,2,male,8,1,Z,S
0,3,female,28,3,Z,S
0,2,male,29,1,Z,C
1,2,female,34,0,Z,S
0,2,male,19,0,Z,S
1,1,male,48,0,E,S
0,1,male,54,0,E,S
1,2,female,31,1,Z,S
1,3,male,1,0,Z,C
0,2,male,29,1,Z,S
1,3,female,19,0,Z,Q
1,1,female,28,0,E,S
0,3,male,41,0,Z,Q
0,3,female,28,0,Z,S
0,3,female,39,0,Z,Q
1,1,male,11,1,B,S
1,3,male,4,1,Z,S
0,3,male,28,0,Z,Q
0,3,male,20,0,Z,S
0,3,male,24,0,Z,S
0,3,male,71,0,Z,Q
0,2,male,30,0,Z,S
1,1,female,14,1,B,S
0,1,male,22,0,Z,C
0,3,male,24,0,Z,S
0,3,male,28,0,Z,Q
1,3,female,15,1,Z,C
0,3,female,41,0,Z,S
1,1,female,33,1,C,Q
0,3,female,28,8,Z,S
1,3,female,28,0,Z,Q
1,1,female,29,0,B,S
0,3,male,35,0,Z,S
0,3,male,28,0,Z,S
0,3,female,28,1,Z,S
0,3,male,43,0,Z,S
1,3,female,16,0,Z,Q
1,1,female,51,1,D,S
1,2,male,34,0,D,S
0,3,male,50,0,Z,S
0,3,male,20,0,Z,S
0,3,male,28,0,Z,S
0,3,male,35,0,Z,C
0,2,male,21,0,Z,S
1,2,male,19,0,Z,S
1,1,female,36,1,B,S
0,3,female,39,1,Z,S
1,2,male,1,2,F,S
1,3,female,13,0,Z,C
0,3,male,4,4,Z,S
0,3,female,21,2,Z,S
0,3,male,20.5,0,Z,S
1,3,female,33,3,Z,S
1,2,female,5,1,Z,S
0,3,male,28.5,0,Z,S
0,3,male,32,0,Z,Q
1,1,female,40,1,E,C
1,1,male,28,0,C,S
0,1,male,21,0,D,S
1,2,female,42,0,Z,S
0,3,male,20,0,Z,S
0,3,male,24,1,Z,S
0,3,male,28,0,Z,Q
1,1,female,38,0,B,
1,2,female,18,0,Z,S
1,3,female,17,4,Z,S
0,3,male,20,0,Z,S
1,3,male,27,0,Z,S
0,2,male,32,0,Z,S
0,2,male,31,1,Z,C
1,2,male,1,0,Z,S
0,2,female,27,1,Z,S
0,1,male,28,0,Z,S
1,1,female,22,0,E,S
0,3,male,25,0,Z,Q
0,3,male,28,0,Z,Q
0,3,female,18,0,Z,Q
0,3,male,19,0,Z,S
0,2,male,46,0,Z,S
0,2,male,21,2,Z,S
0,3,male,4,4,Z,Q
0,3,male,24,0,Z,S
1,2,female,28,0,Z,S
1,2,female,22,1,Z,C
0,3,male,21,0,Z,S
1,1,female,16,0,B,S
1,1,male,23,0,D,C
1,1,female,48,0,D,S
1,3,male,28,0,Z,S
1,1,female,21,0,D,S
1,3,male,29,0,Z,S
1,3,male,1,1,Z,S
0,1,male,31,1,B,S
1,2,male,42,0,Z,S
1,1,female,22,1,C,S
0,3,female,30,1,Z,S
1,3,female,19,1,Z,S
0,2,male,28,0,Z,S
0,3,female,9,2,Z,S
0,3,female,45,1,Z,S
0,3,female,11,4,Z,S
0,3,male,7,4,Z,Q
0,3,female,28,0,Z,Q
0,2,male,54,0,Z,S
0,3,male,17,0,Z,S
0,3,male,28,0,Z,S
0,2,male,48,0,Z,S
0,3,female,22,0,Z,S
0,3,male,30,0,Z,S
0,3,male,28,1,Z,Q
0,3,female,24,0,Z,S
1,3,female,63,0,Z,S
1,3,male,9,0,Z,S
0,2,male,28,0,Z,S
1,3,female,29,0,Z,C
0,3,male,27,0,Z,S
0,3,male,47,0,Z,S
1,2,female,33,1,Z,S
1,1,female,19,0,D,S
0,3,male,61,0,Z,S
1,3,female,16,0,Z,Q
0,3,male,28,0,Z,S
0,1,male,65,0,E,S
1,1,male,27,0,D,C
0,3,female,20,0,Z,S
0,3,male,25,0,Z,S
0,2,male,28,0,Z,S
1,2,male,1,1,Z,S
1,2,female,48,1,Z,S
1,3,female,28,0,Z,Q
0,3,male,22,0,Z,S
1,1,female,58,0,C,S
0,3,male,16,0,Z,S
0,3,male,36,0,Z,S
1,3,male,28,0,Z,S
0,3,male,30,0,Z,S
1,2,female,36,0,Z,S
0,3,female,45,0,Z,C
0,3,female,21,0,Z,Q
0,3,male,24,0,Z,S
0,3,male,25,0,Z,S
0,3,male,19,0,Z,Q
1,2,female,33,0,E,S
1,3,female,18,0,Z,S
0,3,male,14,5,Z,S
0,2,male,16,0,Z,S
1,2,female,24,1,Z,S
0,2,male,70,0,Z,S
0,3,female,18,1,Z,S
0,3,female,20,1,Z,S
1,1,female,30,0,B,S
1,1,male,37,1,D,S
1,1,male,48,1,C,S
0,3,female,8,3,Z,S
0,3,female,28,1,Z,S
1,2,male,62,0,Z,S
1,1,female,30,0,Z,C
0,1,male,28,0,C,S
1,3,female,4,0,Z,C
1,2,female,34,0,Z,S
0,3,male,56,0,Z,S
0,3,male,28,0,Z,C
1,3,female,2,0,Z,S
1,1,female,33,0,B,S
1,1,male,42,1,D,S
1,2,female,13,0,Z,S
1,3,male,3,4,Z,S
0,3,male,20,0,Z,S
1,3,female,28,0,Z,Q
0,3,female,28,1,Z,C
0,2,male,30,0,Z,S
1,1,female,15,0,B,S
0,1,male,19,1,D,S
0,2,male,52,0,Z,S
1,3,male,19,0,Z,S
1,3,male,18,0,Z,S
0,3,male,16,0,Z,S
1,1,male,4,0,A,S
1,3,male,39,0,Z,S
0,3,male,28,0,Z,S
1,1,male,80,0,A,S
0,3,male,28,0,Z,S
0,1,male,46,0,C,S
1,1,female,47,1,D,S
0,2,male,35,0,Z,S
1,1,female,54,1,Z,C
1,2,female,50,0,Z,S
0,2,male,37,0,F,S
0,2,male,42,1,Z,S
0,3,male,18,0,Z,S
1,1,female,52,1,D,C
0,3,female,9,4,Z,S
0,3,male,65,0,Z,Q
0,2,male,28,0,Z,S
0,3,male,25,1,Z,S
0,3,male,30,1,Z,S
0,3,male,41,2,Z,S
0,3,female,43,1,Z,S
1,3,female,28,1,Z,Q
1,3,female,1,0,Z,C
0,3,male,38,0,Z,S
0,2,male,50,0,Z,S
1,2,female,50,0,Z,S
1,1,female,35,1,C,S
0,3,male,22,0,Z,S
1,1,female,21,2,B,C
1,3,male,32,0,Z,S
1,3,male,32,0,Z,S
0,2,male,34,0,Z,S
0,1,male,28,0,Z,S
0,3,male,21,0,Z,S
1,1,female,26,0,Z,S
0,3,female,28,0,Z,C
1,1,female,18,2,B,C
0,3,male,20,0,Z,S
0,2,male,27,0,Z,S
1,2,female,30,0,Z,Q
1,3,male,21,0,Z,S
0,3,male,19,0,Z,S
1,1,female,58,0,C,S
1,1,male,28,0,A,S
0,2,male,25,0,Z,S
0,1,male,24,0,B,C
0,3,male,47,0,Z,S
1,2,female,45,1,Z,S
0,1,male,40,0,Z,C
1,1,male,34,0,Z,S
1,3,male,45,0,Z,S
1,3,female,1,1,Z,S
0,3,male,34,0,Z,S
0,3,male,28,0,Z,S
0,1,male,61,0,D,S
0,2,male,30,0,Z,S
0,1,female,50,0,C,C
1,1,female,24,0,B,C
1,1,female,49,1,D,C
0,3,male,29,0,Z,S
1,3,female,26,0,Z,S
1,3,female,24,0,Z,C
0,3,male,28,0,Z,Q
1,3,female,18,0,Z,S
1,3,male,32,0,Z,S
0,3,male,2,3,Z,S
1,1,female,30,0,Z,C
0,3,male,15,1,Z,C
0,3,male,28,0,Z,S
0,3,male,26,1,Z,S
1,3,male,28,0,Z,S
1,1,male,36,1,B,S
0,2,male,54,0,Z,S
0,1,male,44,2,C,Q
0,2,male,28,0,Z,S
1,3,female,5,0,Z,S
0,3,male,28,0,Z,S
0,1,male,28,0,B,S
1,1,female,45,1,Z,S
0,3,male,36,0,Z,S
0,3,male,17,0,Z,S
0,2,male,28,0,Z,S
1,1,male,26,0,C,C
1,1,female,23,1,D,C
0,3,female,18,0,Z,S
1,1,female,17,1,C,C
1,2,female,28,0,Z,S
1,2,female,4,2,F,S
1,1,male,52,0,C,S
0,3,male,28,0,Z,S
1,2,female,14,1,Z,C
0,3,male,35,0,Z,C
0,3,male,28,0,Z,S
1,2,female,21,0,Z,S
1,1,female,41,0,E,C
0,3,male,22,1,Z,S
0,3,male,28,0,Z,S
1,2,female,34,0,F,S
0,3,male,9,4,Z,S
0,1,male,18,1,C,C
0,3,male,26,2,Z,S
0,2,male,33,1,Z,C
0,3,male,19,0,Z,S
1,1,male,48,1,D,C
0,3,female,2,4,Z,S
1,3,male,29,0,Z,Q
1,2,female,17,0,Z,C
0,3,male,28,0,Z,Q
1,2,female,34,1,Z,S
0,1,male,64,0,Z,S
0,2,male,18,0,Z,S
1,1,female,40,0,C,S
0,2,male,31,0,Z,S
0,2,male,25,0,Z,S
0,1,male,45,0,T,S
0,3,male,24,0,Z,S
0,3,female,29,1,G,S
0,3,male,22,0,Z,S
1,1,female,28,1,Z,S
0,3,male,1,5,Z,S
0,3,female,14,0,Z,S
0,3,male,16,1,Z,S
1,1,female,28,1,Z,C
0,3,male,33,0,Z,S
0,2,male,34,1,Z,S
0,3,male,19,0,Z,S
1,3,female,1,2,Z,C
0,2,male,25,1,Z,S
1,1,female,23,3,C,S
0,3,female,45,0,Z,S
0,3,female,16,5,Z,S
0,3,male,19,0,F,S
1,2,female,29,1,Z,S
1,3,male,32,0,E,S
0,1,male,28,0,Z,C
0,3,male,19,0,Z,S
0,3,male,30,0,Z,C
0,3,male,28,0,Z,S
0,3,male,51,0,Z,S
1,2,male,28,0,Z,C
0,3,female,28,0,Z,Q
0,3,male,28,0,Z,S
0,3,male,30,0,Z,C
0,3,male,18,0,Z,S
0,2,male,18,0,Z,S
0,3,male,28,1,Z,S
0,3,male,28,2,Z,S
0,2,male,23,2,Z,S
0,3,male,16,0,Z,S
0,3,male,28,8,Z,S
1,3,female,23,0,Z,S
0,3,female,30,0,Z,S
1,1,male,49,1,C,C
0,3,female,31,0,Z,Q
1,1,male,35,0,E,S
1,2,female,40,0,Z,S
1,1,female,39,1,E,S
0,3,male,22,0,Z,S
0,3,male,28,0,Z,S
1,1,female,62,0,B,
0,3,male,28,0,Z,C
0,3,male,25,0,F,S
1,3,female,28,1,F,C
1,3,female,28,1,Z,Q
1,2,female,36,0,D,S
0,3,male,28,0,Z,S
1,1,female,52,1,B,S
0,1,male,39,0,A,S
1,1,female,44,0,B,C
0,3,male,28,2,Z,C
0,3,male,20,0,Z,S
1,1,male,25,1,E,C
1,1,male,36,0,B,C
0,1,male,64,1,C,S
0,1,male,28,0,Z,S
0,2,male,54,1,Z,S
1,3,female,28,0,Z,Q
0,3,female,28,1,Z,C
1,2,female,55,0,Z,S
0,3,male,33,0,Z,C
1,2,female,29,1,Z,S
0,1,male,50,1,E,S
0,2,male,36,0,D,C
1,1,female,43,0,B,S
0,3,male,28,0,Z,S
1,2,female,45,0,Z,S
1,1,female,18,1,C,C
0,3,male,9,5,Z,S
1,3,female,28,0,Z,Q
0,1,male,37,1,C,S
0,2,female,57,0,E,S
0,3,male,21,0,Z,Q
1,3,female,26,0,Z,S
0,3,female,28,0,Z,Q
0,3,male,28,0,Z,S
0,3,male,23,0,Z,S
0,3,female,21,1,Z,S
0,3,male,17,0,Z,S
1,3,female,28,2,Z,Q
1,2,female,32,0,Z,S
0,1,male,28,0,A,S
0,3,male,24,2,Z,S
0,3,male,1,4,Z,S
0,2,male,25,0,Z,S
0,2,male,28,0,Z,S
0,1,male,36,1,C,S
0,3,female,48,1,Z,S
1,3,female,22,0,Z,Q
0,2,female,26,1,Z,S
1,2,female,27,0,E,S
0,3,female,18,2,Z,S
0,3,female,14.5,1,Z,C
0,3,male,22,0,Z,C
1,2,female,42,1,Z,S
0,3,male,28,0,Z,C
0,3,male,28,0,Z,S
0,3,male,24,0,Z,S
0,3,female,3,3,Z,S
1,3,male,3,1,Z,S
0,3,male,34,0,Z,S
0,3,male,21,0,Z,S
0,1,male,38,0,C,S
0,3,male,74,0,Z,S
1,2,female,28,0,Z,S
0,3,male,59,0,Z,S
1,3,female,22,0,Z,S
0,2,male,23,0,Z,S
1,2,female,28,1,Z,S
0,3,male,28,8,Z,S
0,3,male,28,0,Z,S
0,3,male,42,0,Z,S
0,1,male,28,0,Z,S
1,2,female,17,0,Z,S
1,1,female,38,1,C,C
0,1,male,70,1,B,S
0,3,male,21,0,Z,S
1,1,female,16,0,B,C
0,3,female,31,0,Z,S
